Timestamp,CPU_Percent,Memory_Used(GB),Memory_Available(GB),Memory_Percent,Disk_Used(GB),Disk_Free(GB),Disk_Percent
2026-01-30 15:31:19,1.8,2.013774871826172,3.3980140686035156,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:31:31,0.0,2.013031005859375,3.3987464904785156,40.1,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:31:43,0.3,2.0132522583007812,3.3985328674316406,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:31:55,0.0,2.013458251953125,3.3983192443847656,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:32:07,0.5,2.013439178466797,3.398326873779297,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:32:19,1.0,2.0134239196777344,3.398357391357422,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:32:31,0.0,2.0126991271972656,3.3990745544433594,40.1,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:32:43,0.3,2.0134048461914062,3.39837646484375,40.2,10.076255798339844,13.095008850097656,43.5
2026-01-30 15:32:55,0.3,2.0143356323242188,3.3974380493164062,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:33:07,0.5,2.0152816772460938,3.396484375,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:33:19,0.0,2.0152664184570312,3.3964996337890625,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:33:31,0.0,2.0152435302734375,3.3965301513671875,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:33:43,0.0,2.01544189453125,3.3963394165039062,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:33:55,0.0,2.015422821044922,3.3963394165039062,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:34:07,0.3,2.015399932861328,3.3963623046875,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:34:19,0.5,2.0153846740722656,3.3963775634765625,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:34:31,0.5,2.0153579711914062,3.396411895751953,40.2,10.07625961303711,13.09500503540039,43.5
2026-01-30 15:34:43,0.0,2.015331268310547,3.3964385986328125,40.2,10.076263427734375,13.095001220703125,43.5
2026-01-30 15:34:55,0.0,2.0153160095214844,3.3964462280273438,40.2,10.076263427734375,13.095001220703125,43.5
2026-01-30 15:35:07,0.0,2.0152931213378906,3.3964767456054688,40.2,10.076263427734375,13.095001220703125,43.5
