Timestamp,CPU_Percent,Memory_Used(GB),Memory_Available(GB),Memory_Percent,Disk_Used(GB),Disk_Free(GB),Disk_Percent
2026-01-25 17:59:28,25.5,11.056846618652344,4.651519775390625,70.4,162.65000534057617,313.01893615722656,34.2
2026-01-25 17:59:43,5.8,10.979072570800781,4.7292938232421875,69.9,162.65012741088867,313.01881408691406,34.2
2026-01-25 17:59:57,5.6,10.919658660888672,4.788707733154297,69.5,162.65024948120117,313.01869201660156,34.2
2026-01-25 18:00:12,8.5,11.065673828125,4.642692565917969,70.4,162.65026092529297,313.01868057250977,34.2
2026-01-25 18:00:28,17.5,10.946113586425781,4.7622528076171875,69.7,162.6504364013672,313.01850509643555,34.2
2026-01-25 18:00:43,9.6,10.976741790771484,4.731624603271484,69.9,162.6508026123047,313.01813888549805,34.2
2026-01-25 18:00:57,9.8,10.979698181152344,4.728668212890625,69.9,162.65081024169922,313.0181312561035,34.2
2026-01-25 18:01:12,7.4,10.98244857788086,4.725917816162109,69.9,162.65088272094727,313.01805877685547,34.2
2026-01-25 18:01:26,5.1,10.946247100830078,4.762119293212891,69.7,162.65111923217773,313.017822265625,34.2
2026-01-25 18:01:43,10.2,11.09353256225586,4.614833831787109,70.6,162.651611328125,313.01733016967773,34.2
2026-01-25 18:02:00,5.1,11.011714935302734,4.696651458740234,70.1,162.651611328125,313.01733016967773,34.2
2026-01-25 18:02:17,8.9,11.025585174560547,4.682781219482422,70.2,162.65180587768555,313.0171356201172,34.2
2026-01-25 18:02:32,7.4,10.975299835205078,4.733066558837891,69.9,162.65173721313477,313.01720428466797,34.2
2026-01-25 18:02:46,15.3,10.925533294677734,4.782833099365234,69.6,162.65332412719727,313.01561737060547,34.2
2026-01-25 18:03:01,8.6,10.923458099365234,4.784908294677734,69.5,162.65344619750977,313.01549530029297,34.2
2026-01-25 18:03:15,4.8,10.915092468261719,4.79327392578125,69.5,162.65338516235352,313.0155563354492,34.2
2026-01-25 18:03:30,16.4,10.86087417602539,4.847492218017578,69.1,162.65406036376953,313.0148811340332,34.2
2026-01-25 18:03:44,4.4,10.86764144897461,4.840724945068359,69.2,162.6540641784668,313.01487731933594,34.2
2026-01-25 18:03:58,12.3,10.862800598144531,4.8455657958984375,69.2,162.65399932861328,313.01494216918945,34.2
2026-01-25 18:04:12,11.3,11.039043426513672,4.669322967529297,70.3,162.65412521362305,313.0148162841797,34.2
2026-01-25 18:04:28,21.9,10.94912338256836,4.759243011474609,69.7,162.6543197631836,313.01462173461914,34.2
2026-01-25 18:04:43,14.8,11.07101821899414,4.637348175048828,70.5,162.6545639038086,313.01437759399414,34.2
2026-01-25 18:05:00,13.3,11.072105407714844,4.636260986328125,70.5,162.65480041503906,313.0141410827637,34.2
2026-01-25 18:05:17,5.7,10.973323822021484,4.735042572021484,69.9,162.65480041503906,313.0141410827637,34.2
2026-01-25 18:05:34,5.2,10.967521667480469,4.7408447265625,69.8,162.65516662597656,313.0137748718262,34.2
2026-01-25 18:05:51,5.3,11.00845718383789,4.699909210205078,70.1,162.6553497314453,313.0135917663574,34.2
